job_id,cluster
3840688146,2
3840910043,2
3841003722,0
3841334821,4
3841949093,2
3841963841,2
3842227398,1
3842513172,2
3842528795,4
3843043188,1
3843083239,1
3843103150,1
3843620018,3
3844017709,0
3844019967,2
3844025327,2
3844026638,2
3844031840,2
3844032378,3
3844035605,1
3844070064,0
3844096324,2
3844216662,2
3844608722,2
3844654703,0
3844838697,0
3845186343,1
3845412777,1
3845468619,1
3845877107,0
3845924752,1
3846426461,1
3846437219,1
3846960909,0
3847143087,0
3848297827,1
3848497987,2
3848811947,2
3848881977,2
3848960304,1
3848962376,2
3848963986,1
3849913605,1
3849949750,2
3849987120,1
3850259262,6
3850493836,3
3851105711,2
3851109061,2
3851131508,3
3851780654,2
3851783898,2
3852117411,0
3852348626,2
3852727765,3
3853386067,2
3853717462,1
3853719293,2
3853995874,3
3854137450,2
3854391822,2
3854654152,1
3854810848,1
3854900554,2
3854915769,1
3855387504,2
3855427832,2
3855465728,1
3855856223,1
3855860744,2
3855887817,2
3855897428,0
3855969867,1
3856243244,3
3857044719,3
3857325080,0
3857348297,2
3857386463,2
3857541512,1
3857787956,2
3857818755,3
3857848893,4
3858136981,3
3859073094,2
3859078474,2
3859082046,3
3859513039,1
3859514569,2
3859575337,1
3859578144,2
3860323934,2
3860323940,2
3860372966,4
3860378018,1
3860823414,2
3860829339,2
3860829739,1
3860843120,1
3861166245,1
3861222472,2
3861575250,1
3861704803,2
3861708950,2
3861743053,1
3861757344,1
3862107843,2
3862111398,2
3862121382,2
3862123581,3
3862132028,0
3862154961,4
3862160543,3
3862373833,2
3862488328,3
3862537464,2
3862673730,2
3862682461,0
3862705834,2
3862982513,1
3863028624,2
3863030008,1
3863046603,2
3863610227,1
3863616352,2
3863624365,2
3863631572,0
3863869819,3
3864160493,0
3864169730,0
3864172721,0
3864347111,3
3864501161,3
3864519762,0
3864568838,2
3864575201,2
3864701312,2
3865179969,0
3865209247,2
3865391975,2
3865441576,3
3865457964,2
3865549440,4
3865681931,3
3866244801,2
3866388732,3
3866468513,1
3866756779,1
3866803225,3
3866844290,2
3867167975,3
3867234681,3
3867550643,2
3867562444,2
3867568566,2
3867581937,3
3867756254,4
3867762229,1
3867763161,0
3868004859,0
3868010733,0
3868035218,1
3868165768,2
3868384601,3
3868417076,3
3868434254,1
3868450640,1
3868493438,1
3869413340,3
3869490625,3
3869748264,3
3869757186,1
3869776919,2
3870352558,3
3870359478,1
3870363142,2
3870389946,3
3870701883,0
3870707329,2
3870709286,1
3871131511,2
3871144579,2
3871530154,1
3871631334,2
3871636939,0
3872015321,0
3872034277,3
3872255483,1
3872290694,2
3872781436,1
3872787865,3
3872794626,2
3873175436,1
3873176840,3
3873178671,1
3873183002,2
3873209956,2
3873486781,1
3873789262,2
3873909733,2
3874052166,3
3874150857,2
3874366322,2
3874702220,1
3874965536,2
3875041552,0
3875066415,2
3875199851,4
3875471829,2
3875677847,2
3875731325,2
3875732985,2
3875735534,2
3875765946,0
3876264575,3
3876429995,1
3876434405,2
3876457494,2
3876469865,4
3876572082,0
3876925520,1
3876991427,2
3877345234,0
3877509537,2
3878072014,3
3878193413,1
3878233948,3
3878310231,2
3878329666,1
3878345482,2
3878348967,2
3878383329,1
3878803731,0
3878814926,2
3878886873,2
